HOST_LOCATION_ID,AIR_CONFIRMATION_ID,TOTAL_GUESTS,HOST_ID,RATING_OVERALL,BOOKING_ID
AIR-9E4GKHX9,046RdhRx-yIMR6Wd,4,HST-FWUJIHW,4.25,AE-e9UTfxG-QydMlmju-QQzRlRu
AIR-WLL9PBPO,14AvGJFO-liOXtGX,4,HST-GEYTV21,5.00,AE-CoRdz55-Y6nHVG5R-eWLuItc
AIR-3Q116AAP,2XXd9dGJ-cgEoyjt,2,HST-7MKL0XU,4.00,AE-JW9KURv-j2zDEqYq-RHYIJPr
AIR-JYCBUDKW,3FmV1yDU-dCkSv0Q,3,HST-1J902DZ,5.00,AE-mRb8oPR-p7DBZ72t-WNfl2Jw
AIR-BW35LC9Z,3p7vr8Po-nDzXdYe,2,HST-59ONWOT,5.00,AE-EqIRgGq-VyRnHiVo-XCbjXHO
AIR-7O1WOD6J,5CArc6oj-ZFRTh2I,14,HST-D8HQ15M,5.00,AE-KpR3ZCf-XGtO1rJX-BKwYUGr
AIR-B0MS88XS,79Bco5cA-pF70GlT,4,HST-Y56N38N,5.00,AE-kxSsVe4-YMxag5kF-GlP9Im5
AIR-BZMYJ6KP,7bYojsoF-mIJBFgL,9,HST-1P8XX62,5.00,AE-28c6Ijm-lpRga6nk-SQnhk3V
AIR-XX3A987P,7IuVkqKC-9i0KswR,3,HST-7MKL0XU,5.00,AE-4Pume0L-yG7d7gcK-NSKr8Bm
AIR-8P9LUR1X,7m4Or1zF-NPIWSld,1,HST-05N60HD,5.00,AE-szBCZko-ZR12Abe8-zQdmpYU
AIR-75APAANM,8NyAfaCb-KV3rYf4,5,HST-HAVK9UX,5.00,AE-ZUTl6cp-Csq6aSZj-gtBHfsl
AIR-NO3INSF8,9n1fxwey-uskopyz,3,HST-47SH0OG,5.00,AE-k8ZeTrC-5zbMweCi-BcC4jJL
AIR-OPYNSKLW,b4oCBWZp-ufmAbtx,7,HST-JNMDSKX,5.00,AE-4jKDwXm-xKkar9GP-oRyLibA
AIR-VET9D87Y,b7PapfSE-Eq2e4QX,2,HST-I1CHTDQ,5.00,AE-yj992xU-Hn8HfOVe-Hj32ppU
AIR-B0MS88XS,bBPPAk0X-WIh15jz,4,HST-Y56N38N,5.00,AE-GUtVtcy-iOIVjOui-FASbfo3
AIR-OZVSFUVX,BqKpSDVE-m7s2WCV,1,HST-08PO2Z4,5.00,AE-0z2Lw9O-pQRqC67M-B0W4ZD5
