BOOKING_ID,BOOKING_CLASS
AE-WCalHrW-4dZE0aqH-xvE5zD3,CLASS_A
AE-IQNd63A-f45aCZQh-JpaK1Rn,CLASS_A
AE-YZ2mbLv-6Gf89vdw-2j2eFyN,CLASS_A
AE-pFB2zCI-A6XobGRc-e4oKykj,CLASS_A
AE-S0hg8K3-GvUoNI72-yo12KB3,CLASS_A
AE-pgQbzek-2YNqtDIe-dTxjH53,CLASS_A
AE-LS1nYKk-V2X8ov2N-tP3wroe,CLASS_A
AE-letAzxA-be7uPBnn-oTLnAkm,CLASS_A
AE-h8NOOzS-6gpevWGX-al8DoCe,CLASS_A
AE-bItBdXL-vvcg4vUh-sB01aNK,CLASS_A
AE-O8kTx4f-ZRVLi8wV-aohHXiY,CLASS_A
AE-Upk28Fx-4GQ65zrQ-OBmMMGP,CLASS_A
AE-4zotQ1j-uuGLxac9-05QUom4,CLASS_A
AE-K5Ud48B-K5vcBtPd-QaPbSEb,CLASS_A
AE-0Zm94RR-4mNXCZMC-fuSTbQw,CLASS_A
AE-ReqcgPR-zl91KzIB-6SMewRV,CLASS_A
AE-vs4fUMz-RxRyJd11-NBBuPL4,CLASS_A
AE-ylnRjvm-PSqjjQdN-w9BMLit,CLASS_A
AE-ZP57D86-a6tNCYwz-MkUxJ1A,CLASS_A
AE-doyRPzZ-snvdn1JF-Hji49Qi,CLASS_A
AE-8zDCVsH-rSGI0Cwd-lv0fTek,CLASS_A
AE-QRHQjKl-YPvYOSBs-YuKCX3Q,CLASS_A
AE-6ZDsRFH-OuVCXROx-QGM2bpd,CLASS_A
AE-f5zB10y-GlmkqNmp-GaIUV9T,CLASS_A
AE-oTvyyGu-cGgH5qyl-6bh8aFo,CLASS_A
AE-wdIDbKZ-iCTGnWnu-YC9Y3UI,CLASS_A
AE-1xNPS4m-1oRe9KEI-qAqPJ6V,CLASS_A
AE-WoP2My5-Pm1DwKiZ-ZAkPj3h,CLASS_A
AE-Bxn5I2e-v0UTqy6U-whSql4H,CLASS_A
AE-gVuuobt-xnR39GT8-YDU2NMO,CLASS_A
AE-SiDPhBh-MMx48pva-2qcgjrZ,CLASS_A
AE-fO4IZhb-pYOLdlm0-JPbySFl,CLASS_A
AE-plytodA-vKqnPvOb-qEtFBCt,CLASS_A
AE-aGV1nlK-HToIyfwJ-W7NXeGZ,CLASS_A
AE-dD1ddvb-GclIZMQj-Vi6xaar,CLASS_A
AE-WPZ4z91-Qn6NMESf-dufi1hB,CLASS_A
AE-Vi7Xs0i-sAZ8rUcR-kZj03Pi,CLASS_A
AE-NSswNDM-NASSRLQk-4nIPlJt,CLASS_A
AE-Uxv4eRy-CKfWPu3c-Vdz7YJj,CLASS_A
AE-xn1cFrJ-HVupkHXH-Y1nDXAQ,CLASS_A
AE-Q6jR9EV-JD391Emb-2adg2ch,CLASS_A
AE-e9UTfxG-QydMlmju-QQzRlRu,CLASS_B
AE-CoRdz55-Y6nHVG5R-eWLuItc,CLASS_B
AE-JW9KURv-j2zDEqYq-RHYIJPr,CLASS_B
AE-mRb8oPR-p7DBZ72t-WNfl2Jw,CLASS_B
AE-EqIRgGq-VyRnHiVo-XCbjXHO,CLASS_B
AE-KpR3ZCf-XGtO1rJX-BKwYUGr,CLASS_B
AE-kxSsVe4-YMxag5kF-GlP9Im5,CLASS_B
AE-28c6Ijm-lpRga6nk-SQnhk3V,CLASS_B
AE-szBCZko-ZR12Abe8-zQdmpYU,CLASS_B
AE-ZUTl6cp-Csq6aSZj-gtBHfsl,CLASS_B
AE-GUtVtcy-iOIVjOui-FASbfo3,CLASS_B
AE-0z2Lw9O-pQRqC67M-B0W4ZD5,CLASS_B
AE-GZWhHdW-7tD0Yktr-PQPwYjX,CLASS_B
AE-qqirU40-ElaLSf1Z-goAX4ra,CLASS_B
AE-kndTshU-VdDz39mQ-NoJykCc,CLASS_B
AE-l0ZaQ8I-NyEcbAaG-OOsfpX3,CLASS_B
AE-1T90ntZ-bTgyp0Xb-F5XIwAL,CLASS_B
AE-miFv0Ke-S6NHFHCW-XzajcXY,CLASS_B
AE-ZpOXbHq-1z5Z37sq-9jN4Fan,CLASS_B
AE-lBxTLQ4-69PZsItJ-XQSzUL4,CLASS_B
AE-l7HVcga-DVmaYFh5-uBhr6m3,CLASS_B
AE-gsyrNoc-QxXFz4jc-JXoOmO9,CLASS_B
AE-iblzu9i-tZzvklX8-VemmsKV,CLASS_B
AE-8AraZad-XXXNdFNQ-OSxeqQU,CLASS_B
AE-nBVjqzv-MIanalpu-bk4lfFM,CLASS_B
AE-YzziJ7n-smPuXsbc-nOrZHSP,CLASS_B
