FLIGHT_CONFIRMATION_ID,ALL_CATEGORIES_TICKET_ID
AVSJO9,EX-AyMxeiB0-XRLENVJE
AVSJO9,EX-yQVAwEs7-ZOSQGEIS
BGA0RH,EX-KniimSMo-OTASVZSE
BGA0RH,EX-942xjCJQ-ZGIYRVSE
BGA0RH,EX-VQUh6NPC-DXLLRSEG
CMFN2Q,EX-qRbwIpm9-JWHJFAEA
CMFN2Q,EX-Qad68ki8-QKCLZQHY
CMWHH3,EX-CGmlakwe-KKJESASA
DXCQP3,EX-9vXeyyGb-DNTZFUTQ
DXCQP3,EX-V1oHoxsS-TPJABNIG
DZQ98T,EX-BWc08dch-BBTRSPVK
DZQ98T,EX-CShGlnTd-AXFHTEIA
EQV05B,EX-uKQvEzon-QXLRGNQE
EQV05B,EX-9zZ8upLm-HECXXPWS
FBCTUS,EX-Yg0ZS6gH-NQJCRJZA
FBCTUS,EX-8cxM4WAX-MDSLOBBS
FBCTUS,EX-ZRlBEDj4-YOXQZNWC
FBCTUS,EX-Ua0wRSNb-MTYNGZFG
FBCTUS,EX-K8OvUmW1-XEOOULBW
FBCTUS,EM-1hygg7QP-MUTJPWMP
FBCTUS,EM-xduktM8o-OGUTCMBA
FBCTUS,EM-aZY3B314-RLVDLIRC
FEFE5A,EX-FGcTZAXp-AXWFOFBO
FEFE5A,EX-IiJKt5gY-HDIFAJHV
FMBVKX,EX-C2bJ5x8Y-NNIOHIEX
FMBVKX,EX-DXgNM8jl-ZBAIQDQS
FNAMSU,EX-WSK3BIpb-IHCQBZBY
FNAMSU,EX-OKErtxel-TAWANHUJ
FUWZFM,EX-nI4cUrQ3-QJNIJQAA
FUWZFM,EX-Z2tMcL3q-KBKAYIHL
GHOCA8,EX-yjI3puet-QETQMDXF
GHOCA8,EX-qzWg28M7-LIOGPSTX
GUUQEB,EX-Qc3NtJiH-WXYLAFHM
HFZH50,EX-fsrDYrqG-HXPIUQYP
HFZH50,EX-pWIRDU2H-BDWRUFVO
HHFR81,EX-Dn63PcD7-OKDJDABZ
HHFR81,EX-RL98PGBN-VGURTVCY
IERZMW,EX-rFW1uNME-MOQDLBIW
IERZMW,EX-LbLabYTE-AKRFJDHR
IERZMW,EX-QFY4hD4e-YHNINBTY
IERZMW,EX-Op3ztwxu-LKEIQTVR
IERZMW,EM-mmFKLi1k-SXTNDKLW
IERZMW,EM-e5ZqamfO-XFMYDOKG
IERZMW,EM-jAwrhoVY-OMPYAMHZ
IIO0IU,EX-o6TWySzZ-KMCGSIFM
JKJ2J8,EX-OgyEnMQh-WSESCOTW
JKJ2J8,EI-kSrprxoh-VDJVXAHC
JOFOU9,EX-mxDfAlGo-RLSUTVGA
JOFOU9,EX-L5lElTRB-OROEYODK
JOFOU9,EM-dPPSqc0B-SWVVVFPW
LMYX1L,EX-Nz44HMxv-RDKIHHQG
