ORIGIN,DESTINATION,FLIGHT_CONFIRMATION_ID,DEPARTING_DATE,RETURNING_DATE,TICKET_CATEGORY,DEPT_FLIGHT_TYPE,DEPT_FIRST_FLIGHT_NO,DEPT_SECOND_FLIGHT_NO,DEPT_THIRD_FLIGHT_NO,DEPT_TRIP_DURATION_HR,RTRN_FLIGHT_TYPE,RTRN_FIRST_FLIGHT_NO,RTRN_SECOND_FLIGHT_NO,RTRN_THIRD_FLIGHT_NO,RTRN_TRIP_DURATION_HR
"Denver, CO (DEN-Denver Intl.)","Rio de Janeiro, Brazil (GIG-Galeao - Antonio Carlos Jobim Intl.)",AVSJO9,2017-04-12,2017-05-01,ROUND-TRIP,LAYOVER,AC 1040,AC 90,AC 9836,21.92,LAYOVER,AC 9817,AC 91,AC 1037,20.52
"Sacramento, CA (SMF-Sacramento Intl.)","San Diego, CA (SAN-San Diego Intl.)",BGA0RH,2019-04-11,2019-04-14,ROUND-TRIP,NONSTOP,AS 2481,,,1.50,NONSTOP,AS 3341,,,1.67
"Tokyo, Japan (NRT-Narita Intl.)","Hanoi, Vietnam (HAN-Noi Bai Intl.)",CMFN2Q,2019-06-03,,ONE-WAY,NONSTOP,VN 311,,,5.00,NA,,,,0.00
"Newark, NJ (EWR-Liberty Intl.)","Singapore, Singapore (SIN-Changi)",CMWHH3,2019-01-10,,ONE-WAY,LAYOVER,SQ 21,,,18.50,NA,,,,0.00
"Hong Kong, Hong Kong SAR (HKG-Hong Kong Intl.)","Taipei, Taiwan (TPE-Taoyuan Intl.)",DXCQP3,2017-03-22,,ONE-WAY,NONSTOP,CI 922,,,1.52,NA,,,,0.00
"Dublin, Ireland (DUB)","Los Angeles, CA (LAX-Los Angeles Intl.)",DZQ98T,2017-04-01,2017-04-18,ROUND-TRIP,NONSTOP,EI 69,,,11.08,NONSTOP,EI 68,,,10.25
"Paris, France (CDG-Roissy-Charles de Gaulle)","Shanghai, China (PVG-Pudong Intl.)",EQV05B,2018-02-24,2018-03-24,ROUND-TRIP,NONSTOP,CI 836,,,11.33,NONSTOP,CI 833,,,12.42
"Chicago, IL (ORD-O'Hare Intl.)","Santiago, Chile (SCL-Arturo Merino Benitez)",FBCTUS,2017-12-12,2017-12-18,ROUND-TRIP,LAYOVER,AM 687,AM 10,,26.58,LAYOVER,AM 11,AM 686,,18.08
"New York, NY (JFK-John F. Kennedy Intl.)","Stockholm, Sweden (STO-All Airports)",FEFE5A,2017-03-20,2017-04-05,ROUND-TRIP,LAYOVER,AA 104,AA 6454,,15.75,LAYOVER,AA 8973,AA 8985,,12.17
"New York, NY (JFK-John F. Kennedy Intl.)","Madrid, Spain (MAD-Adolfo Suarez Madrid-Barajas)",FMBVKX,2019-07-20,,ONE-WAY,LAYOVER,AA 94,,,7.25,NA,,,,0.00
"Tijuana, Baja California Norte, Mexico (TIJ-General Abelardo L. Rodriguez Intl.)","Cancun, Quintana Roo, Mexico (CUN-Cancun Intl.)",FNAMSU,2018-12-25,2019-01-01,ROUND-TRIP,NONSTOP,Y4 5470,,,5.00,LAYOVER,Y4 141,Y4 461,,7.00
"Orlando, FL (MCO-Orlando Intl.)","Baltimore, MD (BWI-Baltimore Washington Intl.)",FUWZFM,2018-08-22,,ONE-WAY,LAYOVER,DL 387,DL 2711,,4.25,NA,,,,0.00
"San Francisco, CA (SFO-San Francisco Intl.)","Frankfurt, Germany (FRA-Frankfurt Intl.)",GHOCA8,2019-09-29,2019-10-17,ROUND-TRIP,LAYOVER,EI 60,EI 656,,10.42,LAYOVER,EI 657,EI 61,,27.75
"Madrid, Spain (MAD-Adolfo Suarez Madrid-Barajas)","Dublin, Ireland (DUB)",GUUQEB,2017-05-03,2017-05-07,ROUND-TRIP,NONSTOP,EI 593,,,2.75,NONSTOP,EI 592,,,2.58
"San Diego, CA (SAN-San Diego Intl.)","Tokyo, Japan (NRT-Narita Intl.)",HFZH50,2019-05-31,2019-06-21,ROUND-TRIP,NONSTOP,JL 65,,,11.58,NONSTOP,JL 66,,,10.00
"Bangkok, Thailand (BKK-Suvarnabhumi Intl.)","Tashkent, Uzbekistan (TAS-Tashkent Intl.)",HHFR81,2019-06-03,2019-06-07,ROUND-TRIP,LAYOVER,TK 69,TK 370,,27.83,LAYOVER,TK 369,TK 58,,20.50
"Los Angeles, CA (LAX-Los Angeles Intl.)","Budapest, Hungary (BUD-Ferenc Liszt Intl.)",IERZMW,2019-12-12,2019-12-21,ROUND-TRIP,LAYOVER,LH 451,LH 1340,,14.08,LAYOVER,AC 1911,AC 793,,16.90
"Vancouver, BC, Canada (YVR-Vancouver Intl.)","Quebec, QC, Canada (YQB-Jean Lesage Intl.)",IIO0IU,2018-03-11,,ONE-WAY,LAYOVER,AC 100,AC 1794,,9.10,NA,,,,0.00
"Tijuana, Baja California Norte, Mexico (TIJ-General Abelardo L. Rodriguez Intl.)","Aguascalientes, Aguascalientes, Mexico (AGU-Licenciado Jesus Teran Peredo Intl.)",JKJ2J8,2018-11-23,2018-11-27,ROUND-TRIP,NONSTOP,Y4 490,,,2.82,NONSTOP,Y4 491,,,2.97
"Mexico City, Distrito Federal, Mexico (MEX-Mexico City Intl.)","Rio de Janeiro, Brazil (GIG-Galeao - Antonio Carlos Jobim Intl.)",JOFOU9,2018-01-09,2018-01-26,ROUND-TRIP,LAYOVER,AM 14,AM 8272,,13.92,LAYOVER,AM 8055,AM 15,,12.58
"Albuquerque, NM (ABQ-Albuquerque Intl. Sunport)","Boston, MA (BOS-All Airports)",LMYX1L,2016-09-30,,ONE-WAY,LAYOVER,UA 310,UA 361,,6.25,NA,,,,0.00
"San Diego, CA (SAN-San Diego Intl.)","London, England, UK (LHR-Heathrow)",LPD3LK,2018-05-09,2018-05-17,ROUND-TRIP,NONSTOP,AA 6204,,,10.50,NONSTOP,BA 273,,,11.17
"Milwaukee, WI (MKE-General Mitchell Intl.)","Boston, MA (BOS-Logan Intl.)",MEMI1T,2016-06-11,2016-06-16,ROUND-TRIP,NONSTOP,DL 5516,,,2.36,NONSTOP,DL 5869,,,2.80
"San Diego, CA (SAN-San Diego Intl.)","Oslo, Norway (OSL-Gardermoen)",NLQFJX,2019-12-18,2020-01-09,ROUND-TRIP,LAYOVER,AA 6204,AA 6629,,36.25,LAYOVER,BA 761,BA 273,,18.67
"Miami, FL (MIA-Miami Intl.)","San Diego, CA (SAN-San Diego Intl.)",OGMJ11,2018-08-15,2018-08-19,ROUND-TRIP,NONSTOP,AA 2674,,,5.15,NONSTOP,AA 1209,,,5.07
"Auckland, New Zealand (AKL-Auckland Intl.)","Doha, Qatar (DOH-Hamad Intl.)",ONJK9S,2018-12-03,,ONE-WAY,NONSTOP,QR 921,,,17.83,NA,,,,0.00
"Sydney, NSW, Australia (SYD-Kingsford Smith Intl.)","Rotterdam, Netherlands (RTM-Rotterdam The Hague)",OPTAB0,2016-11-09,2016-11-15,ROUND-TRIP,LAYOVER,CX 100,CX 237,BA 4455,37.81,LAYOVER,BA 4450,UA 949,UA 863,40.05
"Minneapolis, MN (MSP-Minneapolis - St. Paul Intl.)","Amsterdam, Netherlands (AMS-Schiphol)",QYP6TM,2017-03-20,,ONE-WAY,NONSTOP,DL 9471,,,7.92,NA,,,,0.00
"Mexico City, Distrito Federal, Mexico (MEX-Mexico City Intl.)","Dallas, TX (DFW-Dallas-Fort Worth Intl.)",RBS0UC,2019-03-16,,ONE-WAY,LAYOVER,Y4 738,Y4 892,,6.80,NA,,,,0.00
"Johannesburg, South Africa (JNB-O.R. Tambo Intl.)","San Diego, CA (SAN-San Diego Intl.)",RRYXDE,2018-05-29,2018-06-21,ROUND-TRIP,LAYOVER,BA 56,BA 273,,30.58,LAYOVER,BA 272,BA 55,,25.08
"Barcelona, Spain (BCN-Barcelona Intl.)","Edinburgh, Scotland, UK (EDI)",SHQ1QQ,2017-11-19,2017-11-13,ROUND-TRIP,NONSTOP,VY 7815,,,2.83,NONSTOP,VY 7816,,,2.83
"Lima, Peru (LIM-Jorge Chavez Intl.)","London, England, UK (LHR-Heathrow)",TBHD4R,2020-01-20,,ONE-WAY,LAYOVER,AM 47,AM 7,,18.42,NA,,,,0.00
"Calgary, AB, Canada (YYC-Calgary Intl.)","Kelowna, BC, Canada (YLW-Kelowna Intl.)",TBWA4V,2020-01-10,2020-01-10,ROUND-TRIP,NONSTOP,AC 8159,,,1.25,NONSTOP,AC 8128,,,1.18
"Mexico City, Distrito Federal, Mexico (MEX-Mexico City Intl.)","Santiago, Chile (SCL-Arturo Merino Benitez)",TIY3M5,2017-03-10,2017-03-14,ROUND-TRIP,NONSTOP,AM 10,,,8.00,NONSTOP,AM 11,,,8.75
"Hong Kong, Hong Kong SAR (HKG-Hong Kong Intl.)","Bishkek, Kyrgyzstan (FRU-Manas Intl.)",TXN0YH,2017-03-20,2017-03-29,ROUND-TRIP,LAYOVER,SU 213,SU 1882,,19.33,LAYOVER,SU 1881,SU 212,,15.67
"Kansas City, MO (MCI-Kansas City Intl.)","Rome, Italy (FCO-Fiumicino - Leonardo da Vinci Intl.)",UPGP7N,2019-05-27,2019-06-27,ROUND-TRIP,LAYOVER,AA 1869,AA 718,,20.50,LAYOVER,AA 719,AA 1889,,17.58
"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)","Salt Lake City, UT (SLC-Salt Lake City Intl.)",UXIQ5Z,2017-04-11,2017-04-14,ROUND-TRIP,NONSTOP,DL 1818,,,4.05,NONSTOP,DL 1802,,,3.73
