ORDER_NO,USER_ID,TRANSACTION_DATE,TRANSACTION_ID,BOOKING_ID
1,J7PRB1LSYRZ6,2015-10-18,TXN-W24q0DG5Do-u8bluwuUW-98009448,AE-TtYzBI6-6EbkIGUb-rFDHiGs
2,6MHBDJRXFZ35,2015-11-26,TXN-Odqa5lyWjX-OcjsN2psj-41884605,AE-szBCZko-ZR12Abe8-zQdmpYU
3,XKLMY126D2EW,2016-01-05,TXN-kV0RJpMDz2-fRrxKVg2P-37001422,AE-qk79Ffu-an1mIcwt-AUlFICV
4,UZKEIXEYLRBC,2016-01-14,TXN-aPdrywjyl1-ps1Q9m4TG-04014239,AE-4ZM6G9s-ZW4zyMIG-fpksa5t
5,W8Y0OVYSS54W,2016-01-22,TXN-YCwId6OM8A-sXJxmp2aY-71861391,AE-X6YiXGF-1wQ6cpFh-rF0OE54
6,X44CE5W84WA4,2016-02-08,TXN-PM2CGC8IRL-bR2lChHqB-09681804,AE-yj992xU-Hn8HfOVe-Hj32ppU
7,LLR6ULBYBMSK,2016-04-15,TXN-kIsi4UKVgK-UI07SLXwB-02230343,AE-xn1cFrJ-HVupkHXH-Y1nDXAQ
8,5C82LCB1Z1OG,2016-04-19,TXN-BbsmDFA0lV-1Itra9m3E-92529760,AE-XcYbz99-KEx0ZXvU-QI1thyD
9,ZG0X5HCQIAX4,2016-05-10,TXN-4hTOSSuivR-37GnCIL1I-99672973,AE-aFHZofB-ptoBT2Yz-BCcBKNo
10,UI1RP1VX2XAX,2016-05-14,TXN-zcG6Mar8VP-9PYeZMdiX-54305854,AE-1xNPS4m-1oRe9KEI-qAqPJ6V
11,NOLGF0C38BEA,2016-05-18,TXN-71zbpTT8Y7-Kr508c9PE-80169700,AE-S0hg8K3-GvUoNI72-yo12KB3
12,ZLQF3H8JZ2YM,2016-05-25,TXN-HbSJCJP50I-xmPlYpoe7-66081404,AE-0KMt0HE-X2WECGg3-eT3pWTy
13,Y9S6XKCBFRGQ,2016-06-05,TXN-fzXICPantu-svsN9ptVL-87613426,AE-7jeXf2Z-lAyshncS-2ro5Ny6
14,0FTY3RVLE7K9,2016-06-15,TXN-JgWt4ajMe6-Ghf3q0Vdq-55625572,AE-pFB2zCI-A6XobGRc-e4oKykj
15,2XXFJ9IX8NWS,2016-06-18,TXN-j6CfJqWEqF-TRneQP5jg-87314655,AE-28c6Ijm-lpRga6nk-SQnhk3V
16,376LK8R8HDZN,2016-06-24,TXN-lrvMlq0lSr-kyKB8MjlX-59701597,AE-miFv0Ke-S6NHFHCW-XzajcXY
17,LUFI2OL7WI1H,2016-06-28,TXN-XfaQ8Sof0g-Eg59svZqI-23493806,AE-WCalHrW-4dZE0aqH-xvE5zD3
